Player,Team,Goals,Left foot,Right foot,Head,Other
Tomas Pekhart,Legia Warszawa,22,3,11,8,0
Jakub Œwierczok,Piast Gliwice,15,2,11,2,0
Jesus Jimenez,Górnik Zabrze,12,1,11,0,0
Mikael Ishak,Lech Poznañ,12,2,8,2,0
Flavio Paixao,Lechia Gdañsk,12,1,7,4,0
Jakov Puljiæ,Jagiellonia,11,3,6,2,0
Jesus Imaz,Jagiellonia,11,4,7,0,0
Kamil Biliñski,Podbeskidzie,11,2,8,1,0
Erik Exposito,Œl¹sk Wroc³aw,9,7,1,1,0
Ivi Lopez,Raków Czêstochowa,9,0,9,0,0
Patryk Szysz,Zag³êbie Lubin,8,7,1,0,0
Filip Mladenoviæ,Legia Warszawa,7,5,1,1,0
Robert Pich,Œl¹sk Wroc³aw,7,0,7,0,0
Vladislavs Gutkovskis,Raków Czêstochowa,7,1,4,2,0
Filip Starzyñski,Zag³êbie Lubin,7,1,6,0,0
Felicio Brown Forbes,Wis³a Kraków,7,2,5,0,0
Mateusz Kuzimski,Warta Poznañ,7,3,4,0,0
Dani Ramirez,Lech Poznañ,6,4,2,0,0
David Tijaniæ,Raków Czêstochowa,6,3,2,1,0
£ukasz Zwoliñski,Lechia Gdañsk,6,3,2,1,0
Maciej Domañski,Stal Mielec,6,0,6,0,0
Marcin Cebula,Raków Czêstochowa,6,1,5,0,0
Mateusz Szwoch,Wis³a P³ock,6,0,5,1,0
Micha³ Kucharczyk,Pogoñ Szczecin,6,2,4,0,0
Patryk Tuszyñski,Wis³a P³ock,6,0,3,3,0
Pelle van Amersfoort,Cracovia,6,0,4,2,0
Makana Baku,Warta Poznañ,6,4,2,0,0
Alan Uryga,Wis³a P³ock,5,0,1,4,0
Alexander Gorgon,Pogoñ Szczecin,5,1,3,1,0
Bartosz Nowak,Górnik Zabrze,5,1,3,1,0
Tiago Alves,Piast Gliwice,5,1,4,0,0
Fabian Piasecki,Œl¹sk Wroc³aw,4,1,3,0,0
Jakub B³aszczykowski,Wis³a Kraków,4,1,3,0,0
Jakub Moder,Lech Poznañ,4,1,3,0,0
Petr Schwarz,Raków Czêstochowa,4,0,4,0,0
Piotr Krawczyk,Górnik Zabrze,4,2,1,1,0
Sergiu Hanca,Cracovia,4,1,3,0,0
Yaw Yeboah,Wis³a Kraków,4,3,1,0,0
Mateusz Mak,Stal Mielec,4,0,2,2,0
Lorenco Simiæ,Zag³êbie Lubin,4,0,0,4,0
Dawid Kocy³a,Wis³a P³ock,4,0,3,0,1
Jan Grzesik,Warta Poznañ,4,1,3,0,0
Dominik Steczyk,Piast Gliwice,4,1,3,0,0
Micha³ ¯yro,Piast Gliwice,4,2,0,2,0
Rafael Lopes,Legia Warszawa,4,0,1,3,0
Adam Fr¹czczak,Pogoñ Szczecin,3,0,0,3,0
Alasana Manneh,Górnik Zabrze,3,2,1,0,0
Alex Sobczyk,Górnik Zabrze,3,2,0,1,0
Bartosz Kapustka,Legia Warszawa,3,2,1,0,0
Chuca,Wis³a Kraków,3,2,1,0,0
Damian Rasak,Wis³a P³ock,3,0,3,0,0
Jean Carlos Silva,Wis³a Kraków,3,0,3,0,0
Kamil Drygas,Pogoñ Szczecin,3,3,0,0,0
Luquinhas,Legia Warszawa,3,1,1,1,0
Maciej Makuszewski,Jagiellonia,3,1,2,0,0
Micha³ Nalepa II,Lechia Gdañsk,3,0,0,3,0
Pedro Tiba,Lech Poznañ,3,1,2,0,0
Conrado,Lechia Gdañsk,3,3,0,0,0
Pawe³ Wszo³ek,Legia Warszawa,3,0,3,0,0
£ukasz Tra³ka,Warta Poznañ,3,1,2,0,0
Michal Frydrych,Wis³a Kraków,3,0,3,0,0
Mateusz Kupczak,Warta Poznañ,3,2,1,0,0
Sebastian Kowalczyk,Pogoñ Szczecin,3,0,3,0,0
Adrian Benedyczak,Pogoñ Szczecin,3,0,2,1,0
Bart³omiej Paw³owski,Œl¹sk Wroc³aw,3,0,3,0,0
Grzegorz Tomasiewicz,Stal Mielec,3,1,1,1,0
Marcin Flis,Stal Mielec,3,2,0,1,0
Dusan Lagator,Wis³a P³ock,3,0,2,1,0
Rafa³ Janicki,Podbeskidzie,3,1,0,2,0
Andreja Prokiæ,Stal Mielec,2,1,0,1,0
Desley Ubbink,Podbeskidzie,2,0,2,0,0
Florian Loshaj,Cracovia,2,0,1,1,0
Kacper Chodyna,Zag³êbie Lubin,2,0,2,0,0
Lubomir Guldan,Zag³êbie Lubin,2,0,0,2,0
Maciej Gajos,Lechia Gdañsk,2,0,1,1,0
Maciej Sadlok,Wis³a Kraków,2,1,1,0,0
Marcos Alvarez,Cracovia,2,0,1,1,0
Mathieu Scalet,Œl¹sk Wroc³aw,2,1,1,0,0
Micha³ Skóraœ,Lech Poznañ,2,0,2,0,0
Piotr Celeban,Œl¹sk Wroc³aw,2,0,1,1,0
Rok Sirk,Zag³êbie Lubin,2,0,2,0,0
Sasa Baliæ,Zag³êbie Lubin,2,0,0,2,0
Stefan Saviæ,Wis³a Kraków,2,0,2,0,0
Taras Romanczuk,Jagiellonia,2,0,0,1,1
Thomas Rogne,Lech Poznañ,2,0,0,2,0
Tomas Petrasek,Raków Czêstochowa,2,0,0,2,0
Tomas Prikryl,Jagiellonia,2,0,2,0,0
Tomas Vestenicky,Cracovia,2,1,1,0,0
Damian Michalski,Wis³a P³ock,2,0,0,2,0
Krystian Getinger,Stal Mielec,2,0,2,0,0
Bartosz Slisz,Legia Warszawa,2,1,0,1,0
Filip Piszczek,Cracovia,2,1,0,1,0
Krzysztof M¹czyñski,Œl¹sk Wroc³aw,2,0,2,0,0
Samuel Mraz,Zag³êbie Lubin,2,1,1,0,0
Kamil Pi¹tkowski,Raków Czêstochowa,2,0,1,1,0
Luka Zahoviæ,Pogoñ Szczecin,2,0,1,1,0
Thiago,Cracovia,2,1,1,0,0
Marko Roginiæ,Podbeskidzie,2,0,2,0,0
Sebastian Milewski,Piast Gliwice,2,1,1,0,0
Patryk Soko³owski,Piast Gliwice,2,0,2,0,0
